"%1$s incl tax.","%1$s incl. impuestos."
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"Sort Order","Ordenación"
"Start Download","Iniciar la descarga"
"Status","Estatus"
"Subtotal","Subtotal"
"The file does not exist.","El fichero no existe"
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Hay archivos que se han seleccionado pero aún no se han subido. Por favor, súbalos o elimínelos primero."
"Title","Título"
"To:","A:"
"U","U"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Use Default Value","Usar valor por defecto"
"View Order","Ver pedido"
"What's this?","¿Qué es esto?"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"attachment","documento adjunto"
"download","descarga"
"inline","en línea"
"sample","Muestra"
"=====================Mage_Newsletter","=====================Mage_Newsletter"
" Copy","Copia"
"Action","Acción"
"Add New Template","Nueva plantilla"
"Add to Queue","Añadir a la cola"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"An error occurred while saving your subscription.","Se ha producido un error al guardar su suscripción."
"Are you sure that you want to delete this template?","¿Realmente quiere borrar esta plantilla?"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
"Back","Atrás"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","No se puede marcar como suscriptor recibido."
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Confirmation request has been sent.","La solicitud de confirmación ha sido enviada."
"Convert to Plain Text","Convertir a texto sin formato"
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Customer Middle Name","Primer apellido del cliente"
"Create a Company Account","CREA UNA CUENTA DE EMPRESA"
"Customer My Account Newsletter Subscriptions","Cliente ""Mi cuenta"" Suscripciones al boletín informativo"
"Date Added","Fecha añadida"
"Date Updated","Fecha actualizada"
"Delete","Eliminar"
"Delete Selected Problems","Eliminar problemas seleccionados"
"Delete Template","Eliminar plantilla"
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
"Duplicate template code.","Duplicado del código de la plantilla."
"Edit Newsletter","Editar el boletín informativo"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Enter your email","Ingresa tu email"
"Enter your email address","Ingrese su dirección de correo electrónico"
"Error Code","Código de error"
"Error Text","Texto de error"
"Enter Email","Ingresa tu correo electrónico"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected.","La cola seleccionada es inválida."
"Invalid subscription ID.","El ID de la suscripción es inválido."
"Invalid subscription confirmation code.","Código de confirmación de suscripción inválido."
"Message","Mensaje"
"Add Message","Mensaje"
"My Shopping Cart","Mi carrito de compras"
"Need to Confirm","Debe confirmar"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"New Template","Nueva plantilla"
"Newsletter","Noticias"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Section","Boletín informativo"
"Newsletter Sign-up:","Inscripción en el boletín:"
"Newsletter Styles","Estilos del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletter Subscription Form Before","Formulario de suscripción al boletín antes"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"Newsletter subscription confirmation","Confirmación de la suscripción al boletín informativo"
"Newsletter subscription success","Ha suscrito con éxito nuestro boletín informativo"
"Newsletter unsubscription success","Ha cancelado con éxito su suscripción al boletín informativo"
"No Templates Found","No se encontraron plantillas"
"No problems found.","No se encontraron problemas."
"No subscribers selected.","No se seleccionaron suscriptores."
"Not Activated","No activado"
"Not Sent","No enviado"
"New Company Account","Nueva cuenta de empresa"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Si representa a una empresa, querrá utilizar el área de cuenta de nuestra empresa. La creación de una cuenta de empresa proporciona a todos los miembros de la empresa acceso a funciones B2B como cotización, administración de usuarios de la empresa, pedidos rápidos y más."
"Pause","Pausa"
"Paused","En pausa"
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"Please enter a valid email address (Ex: johndoe@domain.com).","Por favor, ingrese una dirección de correo electrónico válida (Ej: johndoe@domain.com).",module,Magento_Ui
"Please enter new template name","Por favor, ingrese un nuevo nombre de plantilla"
"Please refer to exeption.log","Por favor, véase el el archivo exeption.log"
"Please select subscriber(s)","Por favor, seleccione suscriptor(es)"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Processed","Procesado"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Queue Finish","Tareas finalizadas"
"Queue Information","Información de la cola de tareas"
"Queue Newsletter...","Boletín informativo en cola..."
"Queue Start","Inicio de la cola de tareas"
"Queue Subject","Asunto de la cola de tareas"
"Recipients","Recipientes"
"Reset","Restablecer"
"Resume","Reanudar"
"Register to receive all our news and promotions","Registrate para recibir todas nuestras noticias y promociones"
"Review","Reseña"
"Return HTML Version","Devolver versión HTML"
"Save As","Guardar como"
"Save Newsletter","Guardar el boletín informativo"
"Save Template","Guardar la plantilla"
"Save and Resume","Guardar y reanudar"
"Selected problem subscribers have been unsubscribed.","Se ha cancelado la suscripción de los suscriptores con problemas."
"Selected problems have been deleted.","Se han borrado los problemas seleccionados."
"Sender","Remitente"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Suscríbase al boletín informativo:"
"Sign up for our newsletter","Suscríbase al boletín informativo:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Lo sentimos pero el administrador denegó la suscripción para visitantes. Por favor, <a href=""%s"">regístrense</a>."
"Start","Comenzar"
"Status","Estatus"
"Store","Tienda"
"Store View","Vista de tienda"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribirme"
"Subscribed","Suscrito"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores de"
"Subscription Options","Opciones de suscripción"
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de la plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Thank you for your subscription.","Gracias por suscribirse."
"The subscription has been removed.","La suscripción ha sido eliminada."
"The subscription has been saved.","La suscripción ha sido guardado."
"There was a problem with the subscription.","Hubo un problema con la suscripción."
"There was a problem with the subscription: %s","Hubo un problema con la suscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de la suscripción."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Type","Tipo"
"Unconfirmed","Sin confirmar"
"Unsubscribe","Desuscribirse"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Unsubscribed","Desuscrito"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"View Newsletter","Ver boletín informativo"
"Website","Sitio web"
"You have been unsubscribed.","Ha cancelado su suscripción."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
"=====================Mage_Page","=====================Mage_Page"
"Go back","Regresar"
"%s Item(s)","%s artículo(s)"
"%s-%s of %s","%s-%s de %s"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; Tienda de Demos de Magneto 2008. Reservados todos los derechos."
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; Tienda de Demos de Magneto 2012. Reservados todos los derechos."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; Tienda de Demos de Magneto 2013. Reservados todos los derechos."
"&copy; 2014 Magento Demo Store. All Rights Reserved.","&copy; Tienda de Demos de Magneto 2014. Reservados todos los derechos."
"&copy; 2015 Magento Demo Store. All Rights Reserved.","&copy; Tienda de Demos de Magneto 2015. Reservados todos los derechos."
"(Shift-)Click or drag to change value","Pulse (Shift-) o arrastre para modificar el valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Pulse sobre cualquiera de los fragmentos de tiempo para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga pulsado el botón del ratón sobre cualquiera de los botones de arriba para acelerar la selección."
"- Use the %s buttons to select month","- Utilice los botones %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice los botones %s, %s para seleccionar el año"
"- or Shift-click to decrease it","- o pulse Shift para disminuirlo"
"- or click and drag for faster selection.","- o pulse y arrastre para obtener una selección más rápida."
"-- Please Select --","-- Seleccione, por favor --"
"1 column","1 columna"
"2 columns with left bar","2 columnas con barra a la izquierda"
"2 columns with right bar","2 columnas con barra a la derecha"
"3 columns","3 columnas"
"About the calendar","Acerca del calendario"
"Account","Cuenta"
"All Empty Layout Pages","Todas las páginas de diseño vacío"
"All One-Column Layout Pages","Todas las páginas de diseño con una columna"
"All Pages","Todas las páginas"
"All Pages (Print Version)","Todas las páginas (versión para imprimir)"
"All Three-Column Layout Pages","Todas las páginas de diseño con tres columnas"
"All Two-Column Layout Pages (Left Column)","Todas las páginas de diseño con dos columnas (barra a la izquierda)"
"All Two-Column Layout Pages (Right Column)","Todas las páginas de diseño con dos columnas (barra a la derecha)"
"Allow","Permitir"
"Breadcrumbs","Camino de navegación"
"Click <a href=""%s"">here</a> if nothing has happened","Haga clic <a href=""%s"">aquí</a> si no ha ocurrido nada"
"Close","Cerrar"
"Close Window","Cerrar la ventana"
"DHTML Date/Time Selector","Selector de fecha/hora DHTML"
"Date selection:","Selección de la fecha:"
"Default Description","Descripción (predeterminada)"
"Default welcome msg!","¡Mensaje de bienvenida!"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido según la LGPL de GNU. Para más información véase %s."
"Drag to move","Arrastrar para mover"
"Empty","Vacío"
"For latest version visit: %s","Para obtener la última versión ir a: %s"
"Free Shipping on orders over 50$","Portes pagados para envíos de más de 50 dólares."
"Go Today","Ir a hoy"
"Help Us to Keep Magento Healthy","Ayúdenos a que Magento siga funcionando correctamente"
"Interface Language","Idioma de interfaz"
"Items %s to %s of %s total","Elementos %s a %s de un total de %s"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está deshabilitado en su navegador."
"Left Column","Columna izquierda"
"Left Column First (shows above main column on smaller screens)","Columna izquierda primero (aparece sobre la columna principal en pantallas pequeñas)"
"Main Content Area","Área de contenido principal"
"Menu","Menú"
"Navigation Bar","Barra de navegación"
"Next","Siguiente"
"Next month (hold for menu)","Mes siguiente (mantenga presionado para ver menú)"
"Next year (hold for menu)","Año siguiente (mantenga presionado para ver menú)"
"Page Bottom","Parte inferior de la página"
"Page Footer","Pie de página"
"Page Header","Encabezado de página"
"Page Top","Parte superior de la página"
"Page:","Página:"
"Prev. month (hold for menu)","Mes anterior (mantenga presionado para ver el menú)"
"Prev. year (hold for menu)","Año anterior (mantenga presionado para ver el menú)"
"Previous","Anterior"
"Redirecting...","Redirigiendo…"
"Report All Bugs","Informar de todos los errores"
"Results per page","Resultados por página"
"Right Column","Columna derecha"
"Search","Búsqueda"
"Select Store","Seleccionar tienda"
"Select Store:","Seleccionar tienda:"
"Select date","Seleccionar fecha"
"Show","Ver"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta tienda es una instalación de demonstración. Cualquier pedido realizado en esta tienda no será aceptado ni completado."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Esta página necesita cookies para proporcionar todas sus características. Para más información sobre qué información se contiene en las cookies, por favor, visite nuestra <a href=""%s"">Política de Privacidad</a>. Para aceptar cookies de esta página, por favor, haga clic más abajo en el botón Permitir."
"Time selection:","Selección de hora:"
"Time:","Hora:"
"View All","Ver todo"
"Welcome, %s!","¡Bienvenido, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Tiene que habilitar JavaScript en su navegador para utilizar las funciones de este sitio web."
"Your Language","Su idioma"
"Your Language:","Su idioma:"
"per page","por página"
"=====================Mage_Payment","=====================Mage_Payment"
"%s %s cycle.","Ciclo %s %s."
"* Required Fields","* Información requerida"
"--Please Select--","--Seleccione--"
"3D Secure Card Validation","Validación segura 3D de tarjeta"
"3D Secure Credit Card Validation","Validación segura en 3D de la tarjeta de crédito"
"<label>Make Check payable to:</label> %s","<label>Pagar el cheque a:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Se necesita un valor para el modo en vivo. Consulte el acuerdo de comercio cardinal."
"Allow Initial Fee Failure","Permitir fallo inicial en la suma"
"An internal reference ID is required to save the payment profile.","Se necesita una Id. de referencia interna para guardar el perfil de pago."
"Authorize action is not available.","La autorización no se encuentra disponible."
"Auto Bill on Next Cycle","Pasar la factura automáticamente en el próximo ciclo"
"Automatically Invoice All Items","Facturar automáticamente todos los artículos"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Pasar automáticamente el saldo pendiente de la factura en el próximo ciclo de facturación (en caso de que se produzca un error en los pagos)."
"Bank Transfer Payment","Pago por transferencia bancaria"
"Billing Agreement status is not set.","No se ha establecido el estado del acuerdo de facturación."
"Billing Amount","Cantidad de facturación"
"Billing Frequency","Frecuencia de facturación"
"Billing Period","Período de facturación"
"Billing Period Unit","Unidad de período de facturación"
"Billing period unit is not defined or wrong.","La unidad del período de facturación no ha sido definida o no es correcta."
"Cannot retrieve the payment info model object.","No se puede recuperar el modelo con la información del pago."
"Cannot retrieve the payment information object instance.","No se puede encontrar la instancia del objeto de la información de pago."
"Cannot retrieve the payment method code.","No se puede encontrar el código del método de pago."
"Cannot retrieve the payment method model object.","No se puede recuperar el modelo del método de pago."
"Capture action is not available.","La captura no se encuentra disponible."
"Card Verification Number","Número de comprobación de la tarjeta"
"Cash On Delivery Payment","Pago contra reembolso"
"Centinel API URL","Dirección URL de Centinel API"
"Check / Money Order","Cheque / Orden de pago internacional"
"Credit Card Number","Número de la tarjeta de crédito"
"Credit Card Number: xxxx-%s","Número de tarjeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de tarjeta de crédito: %s"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit card number mismatch with credit card type.","El número de la tarjeta de crédito no coincide con el típo de tarjeta."
"Credit card type is not allowed for this payment method.","Este tipo de tarjeta de crédito no está permitido para este método de pago."
"Currency","Divisa"
"Currency code is undefined.","El código de moneda no ha sido definido."
"Customer ID is not set.","No se ha establecido la Id. del cliente."
"Day","Día"
"Debug Mode","Modo depuración"
"Enabled","Habilitado"
"Expiration Date","Fecha de caducidad"
"Expiration Date: %s/%s","Fecha de caducidad: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nombre completo de la persona que recibirá el producto o servicio pagado a través de la opción de pago recurrente."
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta"
"Initial Fee","Tarifa inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Pago no recurrente inicial debido inmediatamente después de la creación del perfil."
"Instructions","Instrucciones"
"Internal Reference ID","Id. de referencia interna"
"Invalid Credit Card Number","El número de tarjeta es inválido."
"Issue Number","Número de emisión"
"Make Check Payable to","Pagar el cheque a"
"Make Check payable to:","Pagar el cheque a:"
"Make Check payable to: %s","Pagar el cheque a: %s"
"Maximum Billing Cycles","Ciclos máximos de facturación"
"Maximum Order Total","Total máximo de pedido"
"Maximum Payment Failures","Fallos máximos de pago"
"Maximum Trial Billing Cycles","Ciclos de prueba máximos de facturación"
"Merchant ID","Identificación del comerciante"
"Minimum Order Total","Total mínimo de pedido"
"Month","Mes"
"N/A","N/D"
"Name on Card","Nombre que aparece en la tarjeta"
"Name on the Card","Nombre de la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"New Order Status","Nuevo estado de pedido"
"No Payment Information Required","No se necesita información de pago"
"Number of billing periods that make up one billing cycle.","Cantidad de períodos de facturación que componen un ciclo de facturación."
"Order action is not available.","No se puede realizar este compra."
"Overrides API URL that may be specified by a payment method.","Anula la dirección URL de API que puede especificarse en un método de pago."
"Password","Contraseña"
"Payment ID: %s","ID de pago: %s"
"Payment Methods","Métodos de pago"
"Payment Methods Section","Sección de métodos de pago"
"Payment Reference ID","ID de referencia de pago"
"Payment Services","Servicios de pago"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Payment method code is not set.","No se estableció el código de método de pago."
"Payment method code is undefined.","No se definió el código de método de pago."
"Payment profile is invalid:\n%s","El perfil de pago no es válido:\n%s"
"Period frequency is wrong.","La frecuencia de período es incorrecta."
"Please enter a valid credit card verification number.","Por favor, introduzca el número de verificación de tarjeta válido."
"Processor ID","Nº identificación del procesador"
"Purchase Order","Orden de compra"
"Purchase Order Number","Número de la orden de compra"
"Purchase Order Number:","Número de la orden de compra:"
"Purchase Order Number: %s","Número de la orden de compra: %s"
"Recurring Profile Start Date","Fecha de inicio del perfil repetitivo"
"Recurring profile start date has invalid format.","La fecha de inicio del perfil repetitivo tiene un formato no válido."
"Reference ID is not set.","No se estableció el ID de referencia."
"Refund action is not available.","Reembolso no disponible."
"Repeats %s time(s).","Se repite %s vez(veces)."
"Repeats until suspended or canceled.","Se repite hasta que se suspende o cancela"
"Request Card Security Code","Solicitar código de seguridad de la tarjeta de crédito"
"Saved CC","CC guardado"
"Schedule Description","Descripción de programación"
"Schedule description must be not empty.","La descripción de programación no debe quedar vacía."
"Selected payment type is not allowed for billing country.","El tipo de pago seleccionado no está permitido para el país de facturación."
"Send Check to","Enviar cheque a"
"Send Check to:","Enviar cheque a:"
"Severe 3D Secure Card Validation","Validación estricta de tarjeta segura en 3D"
"Severe validation removes chargeback liability on merchant.","La validación estricta exime al comerciante de responsabilidad en caso de devoluciones de cargos"
"Shipping Amount","Importe del envío"
"Short description of the recurring payment. By default equals to the product name.","Descripción corta del pago repetitivo. De forma predeterminada equivale al nombre del artículo."
"Sort Order","Ordenación"
"Start Date","Fecha de inicio"
"Start date has invalid format.","La fecha de inicio tiene un formato no válido."
"Start date is undefined.","La fecha de inicio no está definida."
"Subscriber Name","Nombre del suscriptor"
"Switch/Solo/Maestro Issue Number","Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Únicamente Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Fecha de inicio de Switch/Solo/Maestro"
"Tax Amount","Importe de impuestos"
"Test Mode","Modo de prueba"
"The date when billing for the profile begins.","La fecha de inicio de la facturación para el perfil"
"The number of billing cycles for payment period.","El número de ciclos de facturación por período de pago."
"The number of scheduled payments that can fail before the profile is automatically suspended.","El número de pagos programados que pueden fallar antes de que se suspenda automáticamente el perfil."
"The payment review action is unavailable.","La acción de revisión de pago no está disponible."
"The requested Payment Method is not available.","El método de pago solicitado no está disponible."
"Title","Título"
"Trial Billing Amount","Importe de facturación de prueba"
"Trial Billing Frequency","Frecuencia de facturación de prueba"
"Trial Billing Period Unit","Unidad del período de facturación de prueba"
"Trial Period","Período de prueba"
"Trial billing amount is wrong.","El importe de facturación de prueba es incorrecto."
"Trial billing period unit is wrong.","La unidad del período de facturación de prueba es incorrecta."
"Trial period frequency is wrong.","La frecuencia del período de prueba es incorrecta."
"Trial period max cycles is wrong.","Los ciclos máximos del período de prueba son incorrectos."
"Two Weeks","Dos semanas"
"Unable to save Billing Agreement:","No se puede guardar el contrato de facturación:"
"Unit for billing during the subscription period.","Unidad de facturación durante el período de suscripción."
"Unsupported currency code: %s.","Código de divisa no compatible: %s."
"Void action is not available.","La anulación no se encuentra disponible."
"Week","Semana"
"What is this?","¿Qué es esto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Opción de suspender el perfil de pago si falla el pago inicial o de agregarlo al saldo pendiente."
"Wrong %s specified.","Se especificó un/a %s incorrecto/a."
"Wrong or empty billing amount specified.","Se especificó un importe de facturación incorrecto o vacío."
"Year","Año"
"Zero Subtotal Checkout","Proceso de pago con un total de cero"
"=====================Mage_Sales","=====================Mage_Sales"
"""%s"" coupon code is not valid.","El código de cupón ""%s"" no es válido."
"%s","%s"
"%s / %s rate:","Tasa %s / %s:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","Se ha(n) podido cancelar %s pedidos."
"%s order(s) have been canceled.","Se ha(n) cancelado %s pedidos."
"%s order(s) have been put on hold.","Se ha(n) puesto en espera %s pedido(s)."
"%s order(s) have been released from holding status.","Se ha(n) liberado %s pedido(s) de su estado de espera."
"%s order(s) were not put on hold.","El(los) pedido(s) %s no se han puesto en espera."
"%s order(s) were not released from holding status.","El(los) pedido(s) %s no han sido liberados del estado de espera."
"* - Enter custom price excluding tax","* - Introduzca el precio a medida sin impuestos"
"* - Enter custom price including tax","* - Introduzca el precio a medida con impuestos"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"About This Order:","Acerca de este pedido:"
"About This Profile:","Acerca de este perfil:"
"About Your Invoice","Acerca de su factura"
"About Your Order","Acerca de su pedido"
"About Your Refund","Acerca de su devolución"
"About Your Shipment","Acerca de su envío"
"Accept Payment","Aceptar pago"
"Accept or Deny Payment","Aceptar o rechazar pago"
"Account Information","Información de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Activate","Activar"
"Active","Activo"
"Add","Agregar"
"Add New Address","Nueva dirección"
"Add Order Comments","Añadir comentarios al pedido"
"Add Package","Añadir paquete"
"Add Products","Añadir artículos"
"Add Selected Product(s) to Option","Añadir el(los) artículo(s) seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir el(los) artículo(s) seleccionado(s) al pedido"
"Add Selected Product(s) to Package","Añadir artículo(s) seleccionado(s) al paquete"
"Add To Order","Añadir al pedido"
"Add Tracking Number","Añadir código de seguimiento"
"Add comment to order","Añadir comentario al pedido"
"Add new comment to credit memo","Nuevo comentario a la factura rectificativa"
"Add new comment to shipment","Nuevo comentario al envío"
"Add new tracking number","Nuevo código de seguimiento"
"Add to Cart","Añadir al carrito"
"Additional Product Info","Información adicional del artículo"
"Address","Dirección"
"Address model is not defined.","El modelo de direcciones no está definido."
"Adjustment Fee","Recargo de una corrección"
"Adjustment Refund","Reembolso de una corrección"
"Agreement Information","Información del acuerdo"
"Allow Reorder","Permitir repetir pedido"
"Amount","Importe"
"Amount: %s.","Importe: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ha ocurrido un error al asignar el estado de su pedido. No se ha asignado estado."
"An error occurred while creating shipping label.","Ha ocurrido un error al crear la etiqueta de envío."
"An error occurred while saving order status. The status has not been added.","Ha ocurrido un error al guardar el estado del pedido. No se ha añadido el estado."
"An error occurred while unassigning order status.","Ha ocurrido un error al desasignar el estado del pedido."
"An error occurred while updating the order address. The address has not been changed.","Ha ocurrido un error al actualizar la dirección del pedido. La dirección no se ha cambiado."
"An item option with code %s already exists.","Ya existe una opción de artículo con el código %s."
"Anchor Custom Title","Anclar título personalizado"
"Append Comments","Anexar comentarios"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar el código del cupón"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"Are you sure you want to accept this payment?","¿Realmente quiere aceptar este pago?"
"Are you sure you want to cancel this order?","¿Realmente quiere cancelar este pedido?"
"Are you sure you want to delete all items from shopping cart?","¿Realmente quiere eliminar todos los artículos del carrito de compras?"
"Are you sure you want to deny this payment?","¿Realmente quiere rechazar este pago?"
"Are you sure you want to do this?","¿Realmente quiere hacer esto?"
"Are you sure you want to send Creditmemo email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de factura rectificada?"
"Are you sure you want to send Invoice email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de factura?"
"Are you sure you want to send Shipment email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de envío?"
"Are you sure you want to send order email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de pedido?"
"Are you sure you want to void the payment?","¿Realmente quiere anular el pago?"
"Are you sure?","¿Está seguro?"
"Are you sure? This order will be canceled and a new one will be created instead","¿Está seguro? Este pedido será cancelado y uno nuevo será creado en su lugar."
"Assign Order Status to State","Asignar un estado al estado de pedido"
"Assign Status to State","Asignar un estado al estado"
"Assignment Information","Información de asignación"
"At least a payment ID must be set.","Debe establecerse por lo menos un número de identificación de pago."
"Authorization","Autorización"
"Authorized amount of %s.","Cantidad autorizada de %s."
"Authorizing amount of %s is pending approval on gateway.","Cantidad autorizada de %s en espera de aprobación de la interfaz"
"Back","Regresar"
"Back to Billing Agreements","Volver a los contratos de facturación"
"Back to My Orders","Volver a mis pedidos"
"Back to Recurring Profiles","Volver a los perfiles de suscripción"
"Backordered","Pendientes de entrega"
"Bestsellers","Más vendidos"
"Bill to Name","Nombre de la factura"
"Billing","Facturación"
"Billing Address","Datos de facturación"
"Billing Agreement","Acuerdo de pago"
"Billing Agreement # %s","Acuerdo de pago nº %s"
"Billing Agreement #%s","Acuerdo de pago nº %s"
"Billing Agreement View","Ver acuerdo de pago"
"Billing Agreements","Acuerdos de pago"
"Billing Last Name","Apellido para facturación"
"Billing ZIP Code","Código postal para facturación"
"Buy %s for price %s","Comprar %s por precio %s"
"CSV","CSV"
"Cancel","Cancelar"
"Cancel credit memo","Cancelar la factura rectificada"
"Cancel invoice","Cancelar la factura"
"Cancel order","Cancelar el pedido"
"Canceled","Cancelado"
"Canceled order offline.","Pedido cancelado fuera de línea."
"Canceled order online.","Pedido cancelado en línea."
"Cannot add order history.","No se puede añadir el historial de pedidos."
"Cannot create an empty shipment.","No se puede crear un envio vacío."
"Cannot determine the field name.","No se puede determinar el nombre del campo."
"Cannot do invoice for order.","No se puede hacer factura para el pedido."
"Cannot do shipment for order.","No se puede hacer el envío para el pedido."
"Cannot get order instance","No se puede obtener instancia para el pedido."
"Cannot get the order instance.","No se puede obtener una instancia para el pedido."
"Cannot register an existing credit memo.","No se puede registrar una factura rectificada existente."
"Cannot register existing invoice","No se puede registrar una factura existente."
"Cannot register existing shipment","No se puede registrar un envío existente."
"Cannot send shipment information.","No se puede enviar información de envío."
"Capture","Captura"
"Capture Amount","Captura de importe"
"Capture Invoice","Captura de factura"
"Capture Offline","Capturar fuera de línea"
"Capture Online","Capturar en línea"
"Capture invoice","Captura de factura"
"Captured amount of %s online.","Captura de importe de %s online."
"Capturing amount of %s is pending approval on gateway.","La captura de importe de %s está pendiente de aprobación por la pasarela de pago."
"Carrier","Transportista"
"Carrier/Method","Transportista/Método"
"Change status, add comments","Cambiar estatus, añadir comentarío"
